Team,Points,Submissions,Last Submission
Dr. Alison Herrera,3300,11,2025-06-28T00:00:00.000Z
Alan Brown,1800,6,2025-06-08T00:00:00.000Z
Russell Hammond,800,2,2025-07-05T00:00:00.000Z
Ralph Nichols,3400,20,2025-07-04T00:00:00.000Z
Jesse Roberts,5700,15,2025-06-16T00:00:00.000Z
Charles Lopez,3600,12,2025-06-20T00:00:00.000Z
Nicole Russell,3100,25,2025-06-11T00:00:00.000Z
John Martinez,3100,24,2025-06-03T00:00:00.000Z
Ralph Griffin,2600,7,2025-06-24T00:00:00.000Z
Angela Cooper,4800,22,2025-06-25T00:00:00.000Z
Natasha Thompson,2200,21,2025-07-02T00:00:00.000Z
Timothy Walker,1000,5,2025-06-02T00:00:00.000Z
Joseph Cohen,600,2,2025-06-14T00:00:00.000Z
Angel Gardner MD,3100,22,2025-06-05T00:00:00.000Z
Mr. James Lewis,4600,24,2025-06-26T00:00:00.000Z
Calvin Fuentes,3400,12,2025-06-25T00:00:00.000Z
Laura Cruz,2500,20,2025-06-22T00:00:00.000Z
Alexander Gilmore,3700,10,2025-06-24T00:00:00.000Z
Jessica Phillips,3300,25,2025-06-03T00:00:00.000Z
Robert Moore,4200,12,2025-06-27T00:00:00.000Z
Tiffany Richmond,5000,20,2025-06-09T00:00:00.000Z
John Nixon,1600,9,2025-06-20T00:00:00.000Z
Joshua Walker,100,1,2025-06-16T00:00:00.000Z
Anthony Martinez,2500,13,2025-06-19T00:00:00.000Z
Ivan Dougherty,1500,4,2025-06-30T00:00:00.000Z
Jasmine Owen,4200,27,2025-06-25T00:00:00.000Z
Julie Conner,1900,5,2025-06-28T00:00:00.000Z
Kyle Powell,200,1,2025-06-06T00:00:00.000Z
Christopher Dyer,2100,10,2025-06-18T00:00:00.000Z
Michael Johnson,800,3,2025-06-30T00:00:00.000Z
David Rose,5400,25,2025-06-11T00:00:00.000Z
Cheryl Figueroa,3700,20,2025-07-03T00:00:00.000Z
Michelle Nelson,4000,11,2025-06-21T00:00:00.000Z
Teresa Gould,3800,9,2025-06-30T00:00:00.000Z
Julie Thomas,4300,11,2025-06-26T00:00:00.000Z
Cindy Gonzalez,4700,20,2025-06-17T00:00:00.000Z
David Harris,2200,8,2025-06-03T00:00:00.000Z
James Arnold,900,3,2025-07-04T00:00:00.000Z
Patricia Willis,1700,4,2025-06-20T00:00:00.000Z
Daniel Brown,2900,10,2025-06-07T00:00:00.000Z
Dwayne Conrad,100,1,2025-07-07T00:00:00.000Z
Taylor Wells,4700,19,2025-06-04T00:00:00.000Z
Kyle Salinas,200,1,2025-06-23T00:00:00.000Z
Alexis Allen,3900,16,2025-07-03T00:00:00.000Z
Maria Donaldson,2700,7,2025-06-03T00:00:00.000Z
Kristen Ramirez,3400,10,2025-06-20T00:00:00.000Z
Jenny Mcgee,2300,5,2025-06-19T00:00:00.000Z
Colleen Parker,3300,11,2025-06-14T00:00:00.000Z
Jacqueline Bell,2300,13,2025-06-25T00:00:00.000Z
Terri Green,2200,8,2025-06-20T00:00:00.000Z
Brandy Davis,1700,7,2025-06-14T00:00:00.000Z
Brandon Davidson,5300,15,2025-06-16T00:00:00.000Z
Amanda Hicks,3600,11,2025-06-12T00:00:00.000Z
Gina Moore,3300,9,2025-06-03T00:00:00.000Z
Judith Fisher,1700,13,2025-06-12T00:00:00.000Z
Amanda Brown,2600,13,2025-06-11T00:00:00.000Z
Steven Butler,1500,3,2025-06-17T00:00:00.000Z
Suzanne Vargas,2300,11,2025-06-12T00:00:00.000Z
Gary Cooke,1200,4,2025-06-27T00:00:00.000Z
Steven Hunter,5400,13,2025-06-25T00:00:00.000Z
Kenneth Shepard,1900,9,2025-06-19T00:00:00.000Z
Sheila Wong,1700,4,2025-07-05T00:00:00.000Z
Jasmine Beltran,1000,5,2025-07-07T00:00:00.000Z
Johnny Galvan,1800,6,2025-06-27T00:00:00.000Z
Steven Schroeder,2300,6,2025-06-14T00:00:00.000Z
Dalton Escobar,2900,7,2025-06-25T00:00:00.000Z
Brooke Morris,2000,9,2025-06-05T00:00:00.000Z
Joseph Chambers,600,5,2025-06-27T00:00:00.000Z
Heather Patterson,700,2,2025-06-04T00:00:00.000Z
Linda Bell,4000,17,2025-06-30T00:00:00.000Z
Jacob Yates,2800,12,2025-07-06T00:00:00.000Z
Kevin Smith,4000,16,2025-07-04T00:00:00.000Z
Samantha Hancock,4200,11,2025-06-24T00:00:00.000Z
Gina Silva,3200,13,2025-06-07T00:00:00.000Z
Charles Green,1200,7,2025-06-19T00:00:00.000Z
Benjamin Davis,3300,25,2025-06-28T00:00:00.000Z
Kelly Reed,5100,27,2025-06-06T00:00:00.000Z
Tyler Hardin,2300,22,2025-07-08T00:00:00.000Z
Mrs. Mary Conner,3500,11,2025-06-13T00:00:00.000Z
Barbara Lopez,3000,7,2025-06-02T00:00:00.000Z
Earl Huber,5100,39,2025-06-10T00:00:00.000Z
Tyrone Lutz,2000,10,2025-07-01T00:00:00.000Z
Kyle Shaw,4700,12,2025-07-05T00:00:00.000Z
John Sharp,2400,6,2025-06-20T00:00:00.000Z
Tina Flores,2000,11,2025-06-07T00:00:00.000Z
Alejandro Gallagher,3200,26,2025-06-24T00:00:00.000Z
Sierra Scott,3500,24,2025-07-05T00:00:00.000Z
David Silva,5900,14,2025-06-16T00:00:00.000Z
Joseph Bates,3500,10,2025-06-02T00:00:00.000Z
Scott Collins,3300,10,2025-07-01T00:00:00.000Z
Raymond Thompson,5400,18,2025-06-22T00:00:00.000Z
Teresa Anderson,3900,10,2025-06-29T00:00:00.000Z
Kevin Bailey,2000,7,2025-07-04T00:00:00.000Z
Todd Lee,5000,29,2025-06-19T00:00:00.000Z
Sierra Sheppard,1900,5,2025-06-16T00:00:00.000Z
Daniel Porter,2000,8,2025-06-25T00:00:00.000Z
Nicole Lawson,1700,4,2025-06-20T00:00:00.000Z
Cody Berry,1600,4,2025-06-24T00:00:00.000Z
Kyle Long,3500,17,2025-06-05T00:00:00.000Z
Courtney Gonzalez,2600,15,2025-06-30T00:00:00.000Z
Sharon Webb,100,1,2025-07-08T00:00:00.000Z
